SHEETS: ['Sheet1', 'Sheet2']
================================================================================

### SHEET: Sheet1 (dims=A1:I38, max_row=38, max_col=9)
--------------------------------------------------------------------------------
R1: Task no | Task name | Prompt | Chat and architecture devloped this column is reference so u can see what is my issue related to | Issues | Status |  | Screenshot | General observation
R2:  | Happy path | Build an Express.js API on AWS ECS Fargate with an Application Load Balancer, GitHub Actions, Redis cache, autoscaling, and three environments. |  |  | Pass |  |  | 
R3:  |  | Deploy a Node.js API on Amazon EKS using Helm with PostgreSQL and GitHub Actions. |  |  | Pass |  |  | 
R4:  | Short prompt | Create infrastructure. |  |  | Pass |  |  | 
R5:  |  | Deploy my app |  | When i wrote this prompt, AI started writting the code and in the chat window it is showing  "Hello! I'm StackForge. Describe the infrastructure you want — I'll ask a few clarifying questions like a platform consultant, draft a detailed plan for your approval, then generate Terraform, CI/CD, and orchestration scaffolds (plus a minimal health stub — not a full application).   if AI is not capable to do this, at the initial stage only i should get the response,  as of now in the chat window its denying, no interview question nothng, and directly started  code generation. check ss  Bug Report  Title: StackForge skips interview and generates an assumed AWS EKS infrastructure for a vague prompt Steps to Reproduce:  Open a new StackForge project. Enter the prompt: "Deploy my app." Submit the request.  Expected Result: The agent should begin an interview by asking questions such as: Which cloud provider? Which hosting platform? Which CI/CD provider? Which runtime? Database requirements? Region? It should present a plan for approval before generating any artifacts.  Actual Result The agent immediately generated an AWS EKS scaffold. It assumed AWS, EKS, Node.js, RDS, and GitHub Actions without user input. The response also contains a CI/CD inconsistency by mentioning a GitHub Actions workflow as a blueprint for an OCI DevOps pipeline.  Severity:  High This behavior violates the expected interview-first workflow and can produce infrastructure that does not match the user's actual requirements. | Fail | Screenshot (1452).png |  | 
R6:  |  | Production API. |  | when user clicked on another service option in the interview question an another questions opens up and showing same option in that as redis cach and other 2 new option, if user is clicking on another service, let them write in the other text box.  rather tha showing one more sub question with same option, its hamppering user experience | Fail | https://jam.dev/c/686d3cb3-3bde-496a-b78b-7f351a74726d |  | 
R7:  |  | This happened when i gave invalid values in the interview question. |  | The architecture plan contains several validation and consistency issues. The AI accepted invalid inputs such as "efewwe" for the data service and "wewer" for the programming language without asking the user to provide a valid option. Instead, it assumed PostgreSQL as the database and Node.js as the runtime, while still referring to the invalid runtime elsewhere in the plan. This resulted in contradictory information, including a Node.js application (server.js and package.json) despite the selected language being unsupported. The AI also fabricated technical justifications for these assumptions rather than requesting clarification, leading to an inaccurate infrastructure plan that does not faithfully represent the user's inputs. | Fail |  |  | 
R8:  |  | Generate Terraform. |  |  | pass |  |  | 
R9:  |  | Cloud infrastructure. |  | According to your QA Test Pack, the biggest issue is with the MongoDB selection. Your chat says:  Does the service need stored data or a cache? MongoDB  The AI's architecture plan says: Database: MongoDB (provisioned on OCI) terraform/mongodb.tf MongoDB instance provisioning Managed MongoDB service on OCI  This is the problem.  Why is it wrong? Your QA Test Pack clearly defines what should happen when the user selects "Another service → MongoDB".  Expected behavior: Generate a supported relational database (PostgreSQL stand-in) and add a README note explaining that MongoDB is not directly scaffolded and requires manual configuration. It should not generate a full MongoDB infrastructure.  What the AI did instead  Instead of acknowledging the limitation, it treated MongoDB as fully supported by generating: terraform/mongodb.tf MongoDB instance provisioning Managed MongoDB service MongoDB networking MongoDB IAM configuration MongoDB deployment details  This gives the impression that StackForge fully supports MongoDB infrastructure generation, which is not what the QA pack expects. | Fail | Screenshot (1455).png |  | 
R10:  | Cloud Switching | Start with Deploy on AWS ECS.  During interview say Actually use Google Cloud Run instead.  or Change to Azure AKS.  Expected: Final output should only contain selected cloud. |  |  | pass |  |  | 
R11:  | Vague prompt | I need production infrastructure. |  |  | pass |  |  | 
